[信息] 2022-09-26 13:07:05.953 thread:[001] 初始化完成
[错误] 2022-09-26 13:07:06.000 thread:[013] Omron.PMAC.CK3M初始化失败: : 未能加载文件或程序集“Renci.SshNet, Version=2016.0.0.0, Culture=neutral, PublicKeyToken=1cee9f8bde3db106”或它的某一个依赖项。系统找不到指定的文件。
[错误] 2022-09-26 13:07:07.017 thread:[013] Omron.PMAC.CK3M初始化失败: : 未能加载文件或程序集“Renci.SshNet, Version=2016.0.0.0, Culture=neutral, PublicKeyToken=1cee9f8bde3db106”或它的某一个依赖项。系统找不到指定的文件。
[错误] 2022-09-26 13:07:08.027 thread:[013] Omron.PMAC.CK3M初始化失败: : 未能加载文件或程序集“Renci.SshNet, Version=2016.0.0.0, Culture=neutral, PublicKeyToken=1cee9f8bde3db106”或它的某一个依赖项。系统找不到指定的文件。
[错误] 2022-09-26 13:07:09.043 thread:[013] Omron.PMAC.CK3M初始化失败: : 未能加载文件或程序集“Renci.SshNet, Version=2016.0.0.0, Culture=neutral, PublicKeyToken=1cee9f8bde3db106”或它的某一个依赖项。系统找不到指定的文件。
[错误] 2022-09-26 13:07:10.069 thread:[013] Omron.PMAC.CK3M初始化失败: : 未能加载文件或程序集“Renci.SshNet, Version=2016.0.0.0, Culture=neutral, PublicKeyToken=1cee9f8bde3db106”或它的某一个依赖项。系统找不到指定的文件。
[错误] 2022-09-26 13:07:11.095 thread:[013] Omron.PMAC.CK3M初始化失败: : 未能加载文件或程序集“Renci.SshNet, Version=2016.0.0.0, Culture=neutral, PublicKeyToken=1cee9f8bde3db106”或它的某一个依赖项。系统找不到指定的文件。
[错误] 2022-09-26 13:07:12.127 thread:[013] Omron.PMAC.CK3M初始化失败: : 未能加载文件或程序集“Renci.SshNet, Version=2016.0.0.0, Culture=neutral, PublicKeyToken=1cee9f8bde3db106”或它的某一个依赖项。系统找不到指定的文件。
[错误] 2022-09-26 13:07:13.147 thread:[013] Omron.PMAC.CK3M初始化失败: : 未能加载文件或程序集“Renci.SshNet, Version=2016.0.0.0, Culture=neutral, PublicKeyToken=1cee9f8bde3db106”或它的某一个依赖项。系统找不到指定的文件。
[错误] 2022-09-26 13:07:14.168 thread:[013] Omron.PMAC.CK3M初始化失败: : 未能加载文件或程序集“Renci.SshNet, Version=2016.0.0.0, Culture=neutral, PublicKeyToken=1cee9f8bde3db106”或它的某一个依赖项。系统找不到指定的文件。
[错误] 2022-09-26 13:07:15.194 thread:[013] Omron.PMAC.CK3M初始化失败: : 未能加载文件或程序集“Renci.SshNet, Version=2016.0.0.0, Culture=neutral, PublicKeyToken=1cee9f8bde3db106”或它的某一个依赖项。系统找不到指定的文件。
[错误] 2022-09-26 13:07:16.217 thread:[013] Omron.PMAC.CK3M初始化失败: : 未能加载文件或程序集“Renci.SshNet, Version=2016.0.0.0, Culture=neutral, PublicKeyToken=1cee9f8bde3db106”或它的某一个依赖项。系统找不到指定的文件。
[错误] 2022-09-26 13:07:17.241 thread:[013] Omron.PMAC.CK3M初始化失败: : 未能加载文件或程序集“Renci.SshNet, Version=2016.0.0.0, Culture=neutral, PublicKeyToken=1cee9f8bde3db106”或它的某一个依赖项。系统找不到指定的文件。
[错误] 2022-09-26 13:07:18.258 thread:[013] Omron.PMAC.CK3M初始化失败: : 未能加载文件或程序集“Renci.SshNet, Version=2016.0.0.0, Culture=neutral, PublicKeyToken=1cee9f8bde3db106”或它的某一个依赖项。系统找不到指定的文件。
[错误] 2022-09-26 13:07:19.274 thread:[013] Omron.PMAC.CK3M初始化失败: : 未能加载文件或程序集“Renci.SshNet, Version=2016.0.0.0, Culture=neutral, PublicKeyToken=1cee9f8bde3db106”或它的某一个依赖项。系统找不到指定的文件。
